datetime,Precio_Real,Prediccion_SARIMAX,Diferencia_SARIMAX,hour,month
2024-01-17 10:00:00,44.8,52.56057155775489,-7.7605715577548935,10,1
2024-01-17 11:00:00,34.52,45.567560608284275,-11.047560608284272,11,1
2024-01-17 12:00:00,17.29,42.8999000422828,-25.609900042282803,12,1
2024-01-17 13:00:00,12.99,37.37517095612165,-24.385170956121648,13,1
2024-01-17 14:00:00,5.1,36.680913342083414,-31.580913342083413,14,1
2024-01-17 15:00:00,5.0,40.87352109177079,-35.87352109177079,15,1
2024-01-17 16:00:00,18.38,54.361256060641175,-35.98125606064117,16,1
2024-01-17 17:00:00,43.5,72.90160453558317,-29.401604535583175,17,1
2024-01-17 18:00:00,45.4,82.60403889015909,-37.20403889015909,18,1
2024-01-17 19:00:00,49.1,95.89178901738134,-46.79178901738134,19,1
2024-01-17 20:00:00,54.88,91.56222855389458,-36.68222855389458,20,1
2024-01-17 21:00:00,46.8,84.22352274925854,-37.42352274925854,21,1
2024-01-17 22:00:00,43.37,68.31080705705797,-24.940807057057974,22,1
2024-01-17 23:00:00,18.03,60.52838976546321,-42.49838976546321,23,1
2024-01-18 00:00:00,3.2,44.83031005928575,-41.63031005928575,0,1
2024-01-18 01:00:00,3.2,36.08984161669997,-32.88984161669997,1,1
2024-01-18 02:00:00,1.68,35.119249454243906,-33.43924945424391,2,1
2024-01-18 03:00:00,0.43,30.988623508443997,-30.558623508443997,3,1
2024-01-18 04:00:00,0.99,27.60346493962448,-26.613464939624482,4,1
2024-01-18 05:00:00,3.2,26.919615192319167,-23.719615192319168,5,1
2024-01-18 06:00:00,3.2,34.32732055171056,-31.127320551710557,6,1
2024-01-18 07:00:00,30.1,41.01656418326318,-10.916564183263176,7,1
2024-01-18 08:00:00,47.19,44.67338855659733,2.5166114434026667,8,1
2024-01-18 09:00:00,55.77,47.106448144486926,8.663551855513077,9,1
2024-01-18 10:00:00,45.27,44.584591945081804,0.6854080549181987,10,1
2024-01-18 11:00:00,43.66,36.434272040982606,7.225727959017391,11,1
2024-01-18 12:00:00,39.19,33.94532555405564,5.244674445944355,12,1
2024-01-18 13:00:00,35.0,29.452086482587674,5.547913517412326,13,1
2024-01-18 14:00:00,35.3,28.47224154877823,6.827758451221769,14,1
2024-01-18 15:00:00,45.4,31.126808267260913,14.273191732739086,15,1
2024-01-18 16:00:00,62.17,45.602590855484465,16.567409144515537,16,1
2024-01-18 17:00:00,96.02,66.85882537347932,29.161174626520676,17,1
2024-01-18 18:00:00,103.71,79.61154280431667,24.098457195683324,18,1
2024-01-18 19:00:00,99.6,94.6496881581435,4.9503118418564895,19,1
2024-01-18 20:00:00,105.34,90.64826803207147,14.691731967928533,20,1
2024-01-18 21:00:00,98.84,83.85249745250502,14.987502547494984,21,1
2024-01-18 22:00:00,92.14,67.7449431078707,24.395056892129304,22,1
2024-01-18 23:00:00,73.61,61.342519086820765,12.267480913179234,23,1
2024-01-19 00:00:00,71.82,45.043869985893636,26.776130014106357,0,1
2024-01-19 01:00:00,67.44,36.481783465000134,30.958216534999863,1,1
2024-01-19 02:00:00,67.17,35.65264201820143,31.51735798179857,2,1
2024-01-19 03:00:00,60.0,31.421478559977622,28.578521440022378,3,1
2024-01-19 04:00:00,54.79,28.646188374068185,26.143811625931814,4,1
2024-01-19 05:00:00,50.0,29.030643026798774,20.969356973201226,5,1
2024-01-19 06:00:00,60.0,37.78248546870264,22.21751453129736,6,1
2024-01-19 07:00:00,74.4,44.94592320730741,29.454076792692597,7,1
2024-01-19 08:00:00,82.32,47.851643878678225,34.46835612132177,8,1
2024-01-19 09:00:00,87.33,51.026921998533524,36.303078001466474,9,1
2024-01-19 10:00:00,81.0,50.26326990916542,30.736730090834577,10,1
2024-01-19 11:00:00,78.0,43.02591475396308,34.97408524603692,11,1
2024-01-19 12:00:00,78.74,40.07663928426084,38.66336071573915,12,1
2024-01-19 13:00:00,70.83,35.54169517900894,35.28830482099106,13,1
2024-01-19 14:00:00,61.13,34.967098954264216,26.162901045735786,14,1
2024-01-19 15:00:00,60.14,39.35382276809253,20.786177231907473,15,1
2024-01-19 16:00:00,63.0,55.535802294612495,7.464197705387505,16,1
2024-01-19 17:00:00,69.18,75.27647512957097,-6.096475129570962,17,1
2024-01-19 18:00:00,80.5,87.01144246171351,-6.511442461713514,18,1
2024-01-19 19:00:00,84.2,102.71248177637787,-18.512481776377868,19,1
2024-01-19 20:00:00,82.88,100.05010547522602,-17.170105475226023,20,1
2024-01-19 21:00:00,80.5,94.2890787943777,-13.789078794377701,21,1
2024-01-19 22:00:00,74.4,80.47401759058683,-6.07401759058682,22,1
2024-01-19 23:00:00,61.0,73.29140965945696,-12.29140965945696,23,1
2024-01-20 00:00:00,73.75,56.242427708162516,17.507572291837484,0,1
2024-01-20 01:00:00,63.92,47.22973272035188,16.69026727964812,1,1
2024-01-20 02:00:00,63.81,45.32629929583087,18.48370070416913,2,1
2024-01-20 03:00:00,63.81,40.915279084582764,22.89472091541724,3,1
2024-01-20 04:00:00,63.68,36.880555444569644,26.799444555430355,4,1
2024-01-20 05:00:00,66.1,35.94283155645665,30.15716844354334,5,1
2024-01-20 06:00:00,70.3,43.62663229903384,26.67336770096616,6,1
2024-01-20 07:00:00,75.93,51.12237882935487,24.807621170645135,7,1
2024-01-20 08:00:00,84.09,53.91602108528163,30.173978914718376,8,1
2024-01-20 09:00:00,88.31,57.75086976813908,30.55913023186092,9,1
2024-01-20 10:00:00,82.85,58.62037727720727,24.229622722792726,10,1
2024-01-20 11:00:00,76.64,52.160496658991114,24.479503341008886,11,1
2024-01-20 12:00:00,74.65,49.675780194038424,24.97421980596158,12,1
2024-01-20 13:00:00,69.84,44.454568378494315,25.38543162150569,13,1
2024-01-20 14:00:00,73.41,42.58240882011752,30.827591179882475,14,1
2024-01-20 15:00:00,79.21,44.902408498166366,34.30759150183363,15,1
2024-01-20 16:00:00,87.97,59.50148695537697,28.46851304462303,16,1
2024-01-20 17:00:00,95.07,77.86257542623449,17.207424573765508,17,1
2024-01-20 18:00:00,99.94,87.74092224808379,12.199077751916207,18,1
2024-01-20 19:00:00,99.58,101.50551084925016,-1.9255108492501591,19,1
2024-01-20 20:00:00,99.94,97.02794820755727,2.9120517924427247,20,1
